 # time [a.u.]         RMT-1           RMT-3           RMT-6          SAE
 2.30000000E+01 -4.55837412E-04 -4.36125258E-04 -4.35554083E-04 -4.72908346E-04
 2.31000000E+01 -4.45252174E-04 -4.25996764E-04 -4.25438686E-04 -4.61905003E-04
 2.32000000E+01 -4.34288684E-04 -4.15506359E-04 -4.14961961E-04 -4.50510049E-04
 2.33000000E+01 -4.22946919E-04 -4.04654039E-04 -4.04123921E-04 -4.38723480E-04
 2.34000000E+01 -4.11226987E-04 -3.93439922E-04 -3.92924699E-04 -4.26545428E-04
 2.35000000E+01 -3.99129125E-04 -3.81864250E-04 -3.81364554E-04 -4.13976151E-04
 2.36000000E+01 -3.86653695E-04 -3.69927386E-04 -3.69443861E-04 -4.01016040E-04
 2.37000000E+01 -3.73801184E-04 -3.57629813E-04 -3.57163119E-04 -3.87665616E-04
 2.38000000E+01 -3.60572207E-04 -3.44972135E-04 -3.44522943E-04 -3.73925532E-04
 2.39000000E+01 -3.46967513E-04 -3.31955086E-04 -3.31524077E-04 -3.59796577E-04
 2.40000000E+01 -3.32987993E-04 -3.18579532E-04 -3.18167397E-04 -3.45279671E-04
 2.41000000E+01 -3.18634690E-04 -3.04846486E-04 -3.04453921E-04 -3.30375874E-04
 2.42000000E+01 -3.03908802E-04 -2.90757104E-04 -2.90384815E-04 -3.15086382E-04
 2.43000000E+01 -2.88811679E-04 -2.76312690E-04 -2.75961384E-04 -2.99412538E-04
 2.44000000E+01 -2.73344811E-04 -2.61514685E-04 -2.61185069E-04 -2.83355824E-04
 2.45000000E+01 -2.57509827E-04 -2.46364664E-04 -2.46057446E-04 -2.66917873E-04
 2.46000000E+01 -2.41308489E-04 -2.30864331E-04 -2.30580218E-04 -2.50100471E-04
 2.47000000E+01 -2.24742700E-04 -2.15015527E-04 -2.14755223E-04 -2.32905556E-04
 2.48000000E+01 -2.07814518E-04 -1.98820243E-04 -1.98584446E-04 -2.15335229E-04
 2.49000000E+01 -1.90526174E-04 -1.82280633E-04 -1.82070033E-04 -1.97391753E-04
 2.50000000E+01 -1.72880084E-04 -1.65399023E-04 -1.65214305E-04 -1.79077561E-04
